Telegram N,Issue Id,Summary,Role,Location,Technologies,Team,Description,,,
1,VAC-166,Tax Advisor,Finance,"St. Petersburg, Russia",No technologies,Administrative,"""
*Tax Advisor*

*Resposibilities:*
 -  Analyzing draft contracts, corporate decisions, and local regulations for compliance with the current Russian tax legislation and judicial practice.
 -  Reviewing various contracts in order to identify and eliminate tax risks.
 -  Participating in the development of standard forms, drafting of contracts and other documents.
 -  Preparing tax opinions and advising employees on tax matters.
 -  Assisting employees in the preparation of the Personal Income Tax Return (3-NDFL form).
 -  Monitoring changes to legislation, tax authority rulings, and judicial practice, preparing reports on the results of the monitoring regarding accounting and taxation issues.
 -  Interacting with external tax consultants.
 -  Representing the company in communication with tax authorities.

*Skills and qualifications:*
 -  Relevant higher education.
 -  Excellent knowledge of tax law.
 -  Logical thinking, strong analytical and prediction skills.
 -  5+ years of experience in tax consulting.
 -  Excellent knowledge and experience in financial and tax accounting.
 -  Knowledge of English at Upper Intermediate level or above.
 -  Strong computer skills, knowledge of 1C (8.3). 
*We offer:*
 -  Fascinating work in a friendly, dynamic team.
 -  Developing products for software developers much like ourselves.
 -  Employment package pursuant to the laws of the country of employment.
 -  Competitive salary: determined individually, but above industry average.
 -  Bonuses based on your performance.
 -  Flexible working schedule.
 -  Spacious, comfortable office with hot shower and other amenities.
 -  Hot meals, coffee, tea, sandwiches, juices and soft drinks free of charge.
 -  Office library with specialized work-related books and magazines.
 -  Comfortable, ergonomic workplaces.
 -  Training, including language courses paid by the company.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.

""",,,
2,VAC-160,Accountant,Finance,"Munich, Germany",No technologies,Accounting,"""

*Accountant* 

At this time we are looking for an Accountant to join our Munich team.

*Responsibilities:*
 -  Processing current accountancy, i.e. travel costs, bank accounts, cash register, creditors, debitors.
 -  Preparation of current and annual accounting and tax statements.
 -  Communications with financial authorities and tax consultants and auditors. 
*Requirements:*
 -  Experience of accounting work from 3 years.
 -  Good command of German, English and Russian.
 -  Good command of Excel, DATEV, NetSuite (desirable).
 -  Desire to learn and develop professional knowledge and skills.
 -  Communicative skills. 
*We offer:*
 -  Fascinating work in a friendly dynamic team.
 -  Competitive salary.
 -  Flexible working schedule.
 -  25 working days of paid leave per year.
 -  An office library with specialized work-related books and magazines.
 -  Comfortable working environment, with ergonomic workplaces, fitness and leisure zones and a company-paid car park.
 -  Excellent opportunity for professional and personal development, opportunity to travel to professional conferences worldwide.
 -  Additional benefits including lunch vouchers, free refreshments and snacks in the office, and more.

""",,,
3,VAC-161,Financial Accountant,Finance,"Munich, Germany",No technologies,Accounting,"""
*Financial Accountant* 

At this time we are looking for a Financial Accountant to join our Munich team. 

*Responsibilities:*
 -  Processing current accountancy, i.e. travel costs, bank accounts, cash register, creditors, debitors.
 -  Helping with monthly and annual accounting and tax statements preparation and communications with financial authorities and tax consultants. 
*Requirements:*
 -  Experience of accounting work from 3 years.
 -  Excellent Russian or English (preferably both).
 -  Very good written and oral German.
 -  Good command of Excel, DATEV, NetSuite (desirable).
 -  Desire to learn and develop professional knowledge and skills.
 -  Communicative skills. 
*We offer:*
 -  Fascinating work in a friendly dynamic team.
 -  Competitive salary.
 -  Flexible working schedule.
 -  25 working days of paid leave per year.
 -  An office library with specialized work-related books and magazines.
 -  Comfortable working environment, with ergonomic workplaces, fitness and leisure zones and a company-paid car park.
 -  Excellent opportunity for professional and personal development, opportunity to travel to professional conferences worldwide.
 -  Additional benefits including lunch vouchers, free refreshments and snacks in the office, and more.

""",,,
4,VAC-300,Web-Designer in Design ,,,,,?,,,
5,VAC-301,Web-Designer in Kotlin,,,,,?,,,
6,VAC-221,Developer Advocate,Developer Advocate,"St. Petersburg, Russia, Remote","Kotlin, JavaScript, IOS, Android",Kotlin,"""

*Developer Advocate for Kotlin*

We’re looking for a Developer Advocate position that will be focusing on Kotlin targeting multiple platforms including mobile and JavaScript.

*What you will be doing:*
 -  Writing code
 -  Creating content, be it tutorials, screencasts, etc.
 -  Teaching people how to use technologies and our tools
 -  Speaking at conferences and helping at booths
 -  Interacting with our users
 -  Providing feedback to product teams. 
*What we expect from you:*
 -  5+ years of development experience, preferably in the following technologies: Kotlin, iOS, Android, JavaScript
 -  Great communication skills
 -  Excellent command of written and spoken English
 -  Strong writing style
 -  Teaching skills
 -  Ability to quickly understand and experiment with new technologies We’re looking for people that do not like to be micromanaged, have the discipline to plan tasks and execute themselves and enjoy the freedom to work. If you meet these requirements, and more importantly believe in tooling and the work we do at JetBrains, then this might be the position for you! 

*We offer:*
 -  Possibility of remote
 -  Help in relocating from another region
 -  Fascinating work in a friendly team
 -  Developing products for software developers much like ourselves
 -  High salary: determined individually, but definitely above industry average
 -  Annual bonus
 -  Employment package: voluntary health insurance for employees, their spouse and their children under age 18 (including dental insurance), 5 weeks of paid vacation
 -  Full salary during sick leave
 -  Flexible working schedule
 -  Spacious comfortable office (open 24/7) with a private parking lot
 -  Ergonomic work spaces and cozy lounge zones
 -  Hot meals prepared on site, free drinks, fruits and snacks
 -  Office library with specialized work-related books and magazines
 -  Office gym (with washrooms), massage room, and a recreational zone
 -  Training, including English and German classes
 -  Opportunity to travel to professional conferences in Europe and the US

""",,,
7,VAC-102,Full-stack (Java/JS) Web Application Developer,Software Developer,"Prague, Czech Republic","Java, JavaScript",Galois Project,"""

*Full-stack (Java/JS) Web Application Developer (Galois project)*

JetBrains Prague is looking for an experienced Full-stack web app developer for building a new project, aimed at setting a foundation for a social network for self-learners, - from the ground up. This social network would not only connect people, education resources, learning activities, etc., but also aid users in achieving their self-education goals by the means of the crowdsourced 'knowledge graph'. Technology-wise, you will be using a proprietary JetBrains Kotlin-based web app platform. 

*As part of our team, you will:*
 -  Participating in the early stages of the project planning and prototyping
 -  Learning new technologies required for the success of the project as we go
 -  Involved in making decisions on the architecture of the project
 -  Engaged in project development and testing of both the front-end and the back-end of the project 
* Strong knowledge of:*
 -  Java 8
 -  JavaScript (ECMAScript).
 -  HTML/CSS
 -  SQL
 -  Full-stack web applications development
 -  English (fluent verbal and written skills) 
*Preferable:*
 -  Kotlin
 -  TypeScript
 -  Knowledge of React JS and related technologies
 -  Knowledge of the alternative CSS-related techniques such as JSS, styled components
 -  SQL servers 
* Experience with:*
 -  Git
 -  Docker, DevOps
 -  Maven, Gradle, Node.JS/NPM, Webpack
 -  JetBrains products/similar products usage experience 
*We offer:*
 -  Fascinating work in a friendly team
 -  Developing products for software developers much like ourselves
 -  Annual bonus
 -  Unique company culture
 -  Flexible working schedule and home-offices
 -  Spacious comfortable office (open 24/7) with a private parking lot
 -  Ergonomic workspaces and cosy lounge zones
 -  Free drinks, fruits and snacks
 -  Office library with specialized work-related books
 -  Office gym (with washrooms), massage room, and a recreational zone
 -  Soft-skills trainings
 -  Opportunity to travel to professional conferences in Europe and the US
 -  Help in relocating from another region

""",,,
8,VAC-127,Frontend Developer (Kotlin Websites),Software Developer,"St. Petersburg, Russia",No technologies,Kotlin,"""

*Frontend Developer (WebTeam, Kotlin Websites))* 

JetBrains is looking for a Frontend Developer to take care of the Kotlin websites. Kotlin is a modern programming language targeting the Java, Android, JavaScript, and Native platforms created at JetBrains. Released in 2016, the language is rapidly gaining popularity and is now the fastest growing language on GitHub and one of the most loved languages according to the StackOverflow Developer Survey. Kotlin is officially supported in the Android platform, Spring Framework 5, and Gradle 5.0. The most important tools for Kotlin promotion are its official website (https://kotlinlang.org/) with all the documentation and tutorials and the online sandbox (https://play.kotlinlang.org/) where users can explore Kotlin and do various exercises right in their browser. We strive to make our website as intuitive and user-friendly as possible so that anyone who wants to learn about the project or participate in it could easily find answers to their questions. 

*We will be happy to have you on our team if you:*
 -  Are an expert in JavaScript (ES6).
 -  Have developed applications with React/Redux.
 -  Have strong knowledge of HTML, CSS, and frontend optimization.
 -  Have worked with Git.
 -  Have strong teamwork skills: are open to diverse opinions and can support your point with sound reasoning.
 -  Are not afraid to communicate with users and to answer their questions.
 -  Want to grow as a professional, to master and apply new approaches and technologies. 
* We’d be especially thrilled if you:*
 -  Have experience with Java, Kotlin, Python or Node.js.
 -  Understand the principles of usability and UX (including those for mobile devices).
 -  Are familiar with static typing, have worked with Flow or TypeScript.
 -  Have contributed to open-source projects or have developed projects of your own (GitHub links are welcome in your CV). 
*  What tasks we tackle:*
 -  Develop and maintain the Kotlin website.
 -  Develop and maintain Kotlin Playground.
 -  Develop the KotlinConf website.
 -  Develop the Ktor website.
 -  Refactor old JS/jQuery code. 
*We offer:*
 -  Fascinating work in a friendly, dynamic team.
 -  Developing products for software developers much like ourselves.
 -  Employment package pursuant to the laws of the country of employment.
 -  Competitive salary: determined individually, but above industry average.
 -  Bonuses based on your performance.
 -  Flexible working schedule.
 -  Spacious, comfortable office with hot shower and other amenities.
 -  Hot meals, coffee, tea, sandwiches, juices and soft drinks free of charge.
 -  Office library with specialized work-related books and magazines.
 -  Comfortable, ergonomic workplaces.
 -  Training, including language courses paid by the company.
 -  Opportunity to travel to professional conferences in Europe and the US.
 -  Help in relocating from another region.

""",,,
9,VAC-152,Frontend Developer (Kotlin Websites),Software Developer,"Munich, Germany",JavaScript,WebTeam,"""

*Frontend Developer (Kotlin Websites)*

JetBrains is looking for a Frontend Developer to take care of the Kotlin websites. Kotlin is a modern programming language targeting the Java, Android, JavaScript, and Native platforms created at JetBrains. Released in 2016, the language is rapidly gaining popularity and is now the fastest growing language on GitHub and one of the most loved languages according to the StackOverflow Developer Survey. Kotlin is officially supported in the Android platform, Spring Framework 5, and Gradle 5.0. The most important tools for Kotlin promotion are its official website (https://kotlinlang.org/) with all the documentation and tutorials and the online sandbox (https://play.kotlinlang.org/) where users can explore Kotlin and do various exercises right in their browser. We strive to make our website as intuitive and user-friendly as possible so that anyone who wants to learn about the project or participate in it could easily find answers to their questions. 

*We will be happy to have you on our team if you:*
 -  Are an expert in JavaScript (ES6).
 -  Have developed applications with React/Redux.
 -  Have strong knowledge of HTML, CSS, and frontend optimization.
 -  Have worked with Git.
 -  Have strong teamwork skills: are open to diverse opinions and can support your point with sound reasoning.
 -  Are not afraid to communicate with users and to answer their questions.
 -  Want to grow as a professional, to master and apply new approaches and technologies. 
* We’d be especially thrilled if you:*
 -  Have experience with Java, Kotlin, Python or Node.js.
 -  Understand the principles of usability and UX (including those for mobile devices).
 -  Are familiar with static typing, have worked with Flow or TypeScript.
 -  Have contributed to open-source projects or have developed projects of your own (GitHub links are welcome in your CV). 
*  What tasks we tackle:*
 -  Develop and maintain the Kotlin website.
 -  Develop and maintain Kotlin Playground.
 -  Develop the KotlinConf website.
 -  Develop the Ktor website.
 -  Refactor old JS/jQuery code. 

*We offer:*
 -  Fascinating work in a friendly dynamic team.
 -  Competitive salary.
 -  Flexible working schedule.
 -  25 working days of paid leave per year.
 -  An office library with specialized work-related books and magazines.
 -  Comfortable working environment, with ergonomic workplaces, fitness and leisure zones and a company-paid car park.
 -  Excellent opportunity for professional and personal development, opportunity to travel to professional conferences worldwide.
 -  Additional benefits including lunch vouchers, free refreshments and snacks in the office, and more.

""",,,
10,VAC-142,Frontend Kotlin Developer (New Product),Software Developer,"St. Petersburg, Russia, Moscow, Russia",Kotlin,New Product,"""
## Frontend Kotlin Developer (New Product) JetBrains is known for IntelliJ IDEA, the smartest IDE for Java and other programming languages, and ReSharper, the most popular extension for Microsoft Visual Studio. We are working on a new ambitious project—a tool for developer teams to make their day-to-day work more exciting. The functionality of the future product will include: working with repositories, continuous integration, and means of improving individual productivity and team effectiveness. We are looking for talented and dedicated developers to join our team.
* How we work:* We develop an extensible application in Kotlin (full stack), a language created at JetBrains, compiling code to JVM and JavaScript. Our application is going to have a variety of diverse and complex features (which we will be happy to share with you in person). Our team enjoys a high level of independence: we develop our own UI framework, design features, enhance usability and make product decisions by ourselves. 
*Working with us will fit your interests if you:*
 -  Want to work on a brand new team tool for developers and other professionals.
 -  Want to develop the project from square one and make product decisions.
 -  Identify yourself with startup culture.
 -  Want to work in a strong team.
 -  Want to be on the cutting edge of technology. 
*What we expect from you:*
 -  Excellent knowledge of JS and interest in typed programming languages (TypeScript, Kotlin).
 -  Ability to solve complex tasks.
 -  Fundamental knowledge of CS.
 -  Ability to quickly get a grip on numerous technologies.""",,,
